"countries","type","count_of_titles","content_share_percent","ranking_between_countries"
"United States","Movie","2752","44.00","1"
"India","Movie","962","15.00","2"
"United States","TV Show","938","35.00","1"
"United Kingdom","Movie","534","8.00","3"
"Canada","Movie","319","5.00","4"
"France","Movie","303","4.00","5"
"United Kingdom","TV Show","272","10.00","2"
"Japan","TV Show","199","7.00","3"
"Germany","Movie","182","2.00","6"
"Spain","Movie","171","2.00","7"
"South Korea","TV Show","170","6.00","4"
"Canada","TV Show","126","4.00","5"
"Japan","Movie","119","1.00","8"
"China","Movie","114","1.00","9"
"Mexico","Movie","111","1.00","10"
"Egypt","Movie","102","1.00","11"
"Hong Kong","Movie","100","1.00","12"
"Australia","Movie","94","1.00","14"
"Nigeria","Movie","94","1.00","13"
"France","TV Show","90","3.00","6"
"Indonesia","Movie","86","1.00","15"
"India","TV Show","84","3.00","7"
"Turkey","Movie","83","1.00","16"
"Philippines","Movie","80","1.00","17"
"Belgium","Movie","78","1.00","18"
"Italy","Movie","75","1.00","19"
"Argentina","Movie","71","1.00","20"
"Taiwan","TV Show","70","2.00","8"
"Brazil","Movie","66","1.00","21"
"Australia","TV Show","66","2.00","9"
"South Korea","Movie","61","0.00","22"
"Spain","TV Show","61","2.00","10"
"Mexico","TV Show","58","2.00","11"
"South Africa","Movie","51","0.00","23"
"China","TV Show","48","1.00","12"
"Thailand","Movie","46","0.00","24"
"Germany","TV Show","44","1.00","13"
"Netherlands","Movie","42","0.00","25"
"United Arab Emirates","Movie","36","0.00","26"
"Denmark","Movie","34","0.00","27"
"Colombia","TV Show","32","1.00","14"
"Ireland","Movie","32","0.00","29"
"Poland","Movie","32","0.00","28"
"Brazil","TV Show","31","1.00","15"
"Sweden","Movie","31","0.00","30"
"Turkey","TV Show","30","1.00","16"
"New Zealand","Movie","25","0.00","31"
"Italy","TV Show","25","0.00","17"
"Chile","Movie","24","0.00","33"
"Lebanon","Movie","24","0.00","32"
"Thailand","TV Show","24","0.00","18"
"Singapore","TV Show","23","0.00","19"
"Norway","Movie","21","0.00","34"
"Pakistan","Movie","20","0.00","36"
"Colombia","Movie","20","0.00","35"
"Argentina","TV Show","20","0.00","20"
"Israel","Movie","19","0.00","37"
"Taiwan","Movie","19","0.00","38"
"Singapore","Movie","18","0.00","39"
"Switzerland","Movie","18","0.00","40"
"Malaysia","Movie","18","0.00","41"
"Russia","TV Show","16","0.00","21"
"Czech Republic","Movie","16","0.00","42"
"Egypt","TV Show","15","0.00","22"
"Denmark","TV Show","14","0.00","24"
"Ireland","TV Show","14","0.00","23"
"Romania","Movie","14","0.00","43"
"Uruguay","Movie","13","0.00","44"
"Belgium","TV Show","12","0.00","25"
"South Africa","TV Show","11","0.00","28"
"Russia","Movie","11","0.00","45"
"Austria","Movie","11","0.00","46"
"Israel","TV Show","11","0.00","26"
"Sweden","TV Show","11","0.00","27"
"Peru","Movie","10","0.00","49"
"Hungary","Movie","10","0.00","48"
"Qatar","Movie","10","0.00","47"
"Luxembourg","Movie","10","0.00","51"
"Bulgaria","Movie","10","0.00","50"
"Poland","TV Show","9","0.00","31"
"Norway","TV Show","9","0.00","30"
"Nigeria","TV Show","9","0.00","29"
"Saudi Arabia","Movie","9","0.00","53"
"Greece","Movie","9","0.00","52"
"Netherlands","TV Show","8","0.00","33"
"New Zealand","TV Show","8","0.00","32"
"Iceland","Movie","8","0.00","54"
"Malaysia","TV Show","8","0.00","34"
"Finland","Movie","7","0.00","55"
"Serbia","Movie","7","0.00","57"
"Vietnam","Movie","7","0.00","58"
"Jordan","Movie","7","0.00","56"
"Lebanon","TV Show","7","0.00","35"
"","Movie","6","0.00","60"
"Kenya","Movie","6","0.00","62"
"Portugal","Movie","6","0.00","63"
"Czech Republic","TV Show","6","0.00","36"
"Morocco","Movie","6","0.00","59"
"Cambodia","Movie","6","0.00","61"
"Chile","TV Show","5","0.00","38"
"Ghana","Movie","5","0.00","65"
"Kuwait","Movie","5","0.00","64"
"Hong Kong","TV Show","5","0.00","37"
"Iran","Movie","4","0.00","68"
"Indonesia","TV Show","4","0.00","39"
"Pakistan","TV Show","4","0.00","40"
"Saudi Arabia","TV Show","4","0.00","41"
"Finland","TV Show","4","0.00","42"
"Bangladesh","Movie","4","0.00","66"
"Venezuela","Movie","4","0.00","67"
"Iceland","TV Show","3","0.00","43"
"Algeria","Movie","3","0.00","69"
"Croatia","Movie","3","0.00","70"
"West Germany","Movie","3","0.00","71"
"Slovenia","Movie","3","0.00","72"
"Zimbabwe","Movie","3","0.00","73"
"Soviet Union","Movie","3","0.00","74"
"Kuwait","TV Show","3","0.00","44"
"Philippines","TV Show","3","0.00","45"
"Cayman Islands","Movie","2","0.00","79"
"Nepal","Movie","2","0.00","78"
"Senegal","Movie","2","0.00","77"
"Syria","Movie","2","0.00","76"
"Malta","Movie","2","0.00","75"
"Namibia","Movie","2","0.00","83"
"Guatemala","Movie","2","0.00","82"
"Greece","TV Show","2","0.00","46"
"Ukraine","TV Show","2","0.00","47"
"Luxembourg","TV Show","2","0.00","48"
"West Germany","TV Show","2","0.00","49"
"Jordan","TV Show","2","0.00","50"
"Iraq","Movie","2","0.00","81"
"Georgia","Movie","2","0.00","80"
"Mauritius","Movie","1","0.00","102"
"Burkina Faso","Movie","1","0.00","101"
"Sri Lanka","Movie","1","0.00","100"
"Mongolia","Movie","1","0.00","99"
"Ukraine","Movie","1","0.00","98"
"Vatican City","Movie","1","0.00","97"
"Palestine","Movie","1","0.00","96"
"Angola","Movie","1","0.00","95"
"Cameroon","Movie","1","0.00","94"
"Nicaragua","Movie","1","0.00","93"
"Montenegro","Movie","1","0.00","92"
"Sudan","Movie","1","0.00","91"
"Liechtenstein","Movie","1","0.00","90"
"Bahamas","Movie","1","0.00","89"
"Afghanistan","Movie","1","0.00","88"
"Slovakia","Movie","1","0.00","87"
"Mozambique","Movie","1","0.00","86"
"Latvia","Movie","1","0.00","85"
"Jamaica","Movie","1","0.00","84"
"Cyprus","TV Show","1","0.00","65"
"Belarus","TV Show","1","0.00","66"
"Azerbaijan","TV Show","1","0.00","51"
"Cuba","TV Show","1","0.00","52"
"Malta","TV Show","1","0.00","53"
"","TV Show","1","0.00","54"
"Austria","TV Show","1","0.00","55"
"United Arab Emirates","TV Show","1","0.00","56"
"Puerto Rico","TV Show","1","0.00","57"
"Syria","TV Show","1","0.00","58"
"Mauritius","TV Show","1","0.00","59"
"Switzerland","TV Show","1","0.00","60"
"Senegal","TV Show","1","0.00","61"
"Uruguay","TV Show","1","0.00","62"
"Croatia","TV Show","1","0.00","63"
"Hungary","TV Show","1","0.00","64"
"Samoa","Movie","1","0.00","118"
"Paraguay","Movie","1","0.00","116"
"Ecuador","Movie","1","0.00","117"
"Armenia","Movie","1","0.00","115"
"Lithuania","Movie","1","0.00","114"
"Malawi","Movie","1","0.00","113"
"Botswana","Movie","1","0.00","112"
"Uganda","Movie","1","0.00","111"
"Albania","Movie","1","0.00","110"
"Somalia","Movie","1","0.00","109"
"Bermuda","Movie","1","0.00","108"
"Kazakhstan","Movie","1","0.00","107"
"Ethiopia","Movie","1","0.00","106"
"East Germany","Movie","1","0.00","105"
"Panama","Movie","1","0.00","104"
"Dominican Republic","Movie","1","0.00","103"
