"release_year","type","count","ranking"
2021,"TV Show","315","1"
2020,"Movie","517","1"
2019,"Movie","633","1"
2018,"Movie","767","1"
2017,"Movie","767","1"
2016,"Movie","658","1"
2015,"Movie","398","1"
2014,"Movie","264","1"
2013,"Movie","225","1"
2012,"Movie","173","1"
2011,"Movie","145","1"
2010,"Movie","154","1"
2009,"Movie","118","1"
2008,"Movie","113","1"
2007,"Movie","74","1"
2006,"Movie","82","1"
2005,"Movie","67","1"
2004,"Movie","55","1"
2003,"Movie","51","1"
2002,"Movie","44","1"
2001,"Movie","40","1"
2000,"Movie","33","1"
1999,"Movie","32","1"
1998,"Movie","32","1"
1997,"Movie","34","1"
1996,"Movie","21","1"
1995,"Movie","23","1"
1994,"Movie","20","1"
1993,"Movie","24","1"
1992,"Movie","20","1"
1991,"Movie","16","1"
1990,"Movie","19","1"
1989,"Movie","15","1"
1988,"Movie","16","1"
1987,"Movie","8","1"
1986,"Movie","11","1"
1985,"Movie","9","1"
1984,"Movie","12","1"
1983,"Movie","11","1"
1982,"Movie","17","1"
1981,"Movie","12","1"
1980,"Movie","11","1"
1979,"Movie","10","1"
1978,"Movie","7","1"
1977,"Movie","6","1"
1976,"Movie","9","1"
1975,"Movie","7","1"
1974,"Movie","6","1"
1973,"Movie","10","1"
1972,"Movie","4","1"
1971,"Movie","5","1"
1970,"Movie","2","1"
1969,"Movie","2","1"
1968,"Movie","3","1"
1967,"Movie","4","1"
1966,"Movie","1","1"
1965,"Movie","2","1"
1964,"Movie","2","1"
1963,"TV Show","1","1"
1962,"Movie","3","1"
1961,"Movie","1","1"
1960,"Movie","4","1"
1959,"Movie","1","1"
1958,"Movie","3","1"
1956,"Movie","2","1"
1955,"Movie","3","1"
1954,"Movie","2","1"
1947,"Movie","1","1"
1946,"TV Show","1","1"
1945,"Movie","3","1"
1944,"Movie","3","1"
1943,"Movie","3","1"
1942,"Movie","2","1"
1925,"TV Show","1","1"
